,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOM_C40T41: Electricity, gas and water supply",4,4223.1,8729.9,1898,2665.3,754.7,2093.1,986.9,10017.9,2201.2,4271.7,8224.4,3651.5,3695.8,1371.7,1558.6,1403.2,217.6,674.4,7995.3,5235.5,4693.7,2470.5,2730.3,1643.3,880,860.4,12.9,266,873.7,1817.6,3740.8,1040.9,1594.1,0,13834.7,0,0,0,111.8,0,0,388.5,0
DOM_C45: Construction,5,482.5,140.3,39.2,58.7,8.1,28.9,12,81.1,28.1,41.9,58.2,29.2,80.3,23.1,42.5,61.4,10.4,35.9,120.3,292.2,1233.2,1003.2,1536.2,676.2,905.8,3428.1,8.9,184.7,606.8,1591.2,3474.7,865.3,1261.9,0,0,0,0,268009.2,532.2,0,0,514.7,0
DOM_C50T52: Wholesale and retail trade; repairs,6,10418.1,2059.4,8595.7,16018.4,1148.3,3104,3168.5,6827.9,3655.7,2465.2,4940.7,2086.1,4102.4,5303.1,3189.7,2392.2,744.1,1985.6,2593.3,12221.8,7139.6,4035.3,3347.7,1188.2,492.4,473.1,33,471.4,1379.9,2119.2,1199.9,1798.3,3390.2,0,37279.4,0,180.6,8013.2,3645.3,0,823.8,42409.4,0
DOM_C55: Hotels and restaurants,6,608.1,1009.9,536.7,1067,148.3,779.6,67.2,855.4,339.1,599.7,1623.8,154.9,1460.1,403.2,1087.4,310.3,125.7,233.5,464.3,1882.7,6521.2,852.4,2678.5,390.2,2340,1562.3,21.7,447.7,1470.7,7367.3,1916.6,464.7,1418.9,0,30239.6,0,0,0,4.7,0,6883.4,0,0
DOM_C60T63: Transport and storage,7,6580.4,4895.8,3292.1,2586,1119.9,2532,1895.7,5198.4,1938.1,3813.7,6348,2617.8,4343.6,1659.2,2595,1922.9,343.3,1028.7,5966.9,14443.3,7766.4,1204.4,22162.9,827.4,2018,1158.2,23.2,478.7,1572.7,5223.3,2831.3,348.5,2093.7,0,19493.4,0,4845.5,1644.6,1053,0,3858.6,9274.2,0
DOM_C64: Post and telecommunications,7,450.9,1051.6,477,970.7,124.7,199.2,114.1,889,394.4,391,3066.5,296.2,1385.4,554.1,1120.6,750.9,44.4,316.9,618.6,9249.5,3735.3,518,1142.6,850.9,2491.7,452.5,9,186.2,611.7,3442.3,1076.8,478,1366.2,0,8909.5,0,0,1114.2,12.2,0,0,982.6,0
DOM_C65T67: Financial intermediation,6,4214.9,1650.9,1018.8,1339.4,273.8,902.1,290.2,1550.5,758,1496.1,2039.2,511.3,1815.9,689,883.4,650.5,369.9,285.2,3066.8,2364.7,11413.2,1380.2,6842.4,472,4590.5,7228.5,19.1,394,1294.1,2809,250.1,120.6,1337.6,0,12575.6,0,0,0,37,0,0,103.4,0
DOM_C70: Real estate activities,6,107.3,71.1,153.9,354.3,60.4,96.1,15,172.3,204.8,54.5,387.3,17.5,195.4,291.7,214.8,89.2,37.8,164.8,35.4,53.5,4562.3,604,300.9,528,3220.3,1057.5,6.5,134.8,442.9,8194,427.9,173.2,1994.2,0,45787.9,0,0,11045.4,6.6,0,683.1,73.7,0
DOM_C71: Renting of machinery and equipment,6,17.5,17.6,1.6,3.5,1,2.1,0.5,3.8,2.1,2,3.3,0.6,3.2,1.8,1.5,1.2,0,0.3,3.7,96.7,40,6.5,66,13.3,37.1,1.5,0.2,4.2,13.6,11.6,1.4,4.4,16.6,0,53.5,0,0,0,0.4,0,422,62.4,0
DOM_C72: Computer and related activities,7,512.2,303.4,422.6,359.9,37.8,107.1,39.4,371.3,109.8,104.9,349.2,40.3,262.4,310.9,275.3,210.2,59.8,76.4,137.4,1190.4,1269.7,228.5,300.6,115.7,301.9,627.3,0,0,397.5,283.9,176.7,45.4,218.7,0,327.6,0,0,1739.2,18.2,0,0,283,0
